"Id","Hazard"
6,2.72174
7,5.32898
8,5.50227
9,3.76874
10,4.10902
11,3.48791
13,4.41496
14,3.61969
16,3.6482
17,3.58055
18,4.24555
20,3.54993
27,8.07554
28,4.1049
29,3.16472
30,4.19808
34,3.49632
35,3.97115
36,3.76244
37,3.92737
38,3.70824
40,4.71366
42,4.20048
46,2.62976
47,3.57324
48,4.2344
49,5.41459
51,3.58206
52,4.18265
53,2.12573
54,2.57258
55,2.19379
56,5.09137
57,2.82551
60,3.94844
61,3.52736
64,4.57066
65,4.02712
66,4.44618
68,3.79308
70,2.75427
71,2.32613
75,2.96422
76,2.74538
78,4.74897
80,4.119
81,4.7483
82,4.06886
83,5.28974
85,2.80034
86,2.94879
87,4.09788
89,2.75048
90,3.74684
91,4.77526
92,4.1084
95,3.1779
97,4.41437
99,2.91032
101,3.39848
102,4.33403
103,3.0686
104,3.66324
107,4.06038
108,2.85558
111,3.39942
112,5.66315
115,5.83594
119,3.09084
121,3.19338
124,3.22361
128,4.40255
130,5.01029
131,4.85999
133,5.31026
134,4.61644
137,3.43372
138,4.24233
142,5.33181
143,4.73296
144,8.06382
145,3.82858
147,4.82044
148,5.54396
152,3.55396
154,8.5351
158,2.71298
159,3.96272
160,5.04378
161,4.28266
164,2.47256
165,4.00525
166,1.57705
167,2.62601
169,4.39995
170,4.31967
171,4.90788
175,3.40818
177,3.69505
178,5.55071
180,7.06617
182,2.99932
184,7.91815
185,5.38572
186,2.86973
190,3.85388
191,4.10957
192,2.74031
195,4.71523
196,5.39066
197,4.76105
198,5.17417
199,6.6353
200,2.62578
204,2.04727
205,4.01502
207,2.4622
208,4.18181
209,6.66861
211,4.83785
216,7.8527
217,1.67349
220,4.19463
223,4.79956
224,4.60061
230,3.6315
232,4.45012
235,2.996
236,5.73391
238,3.17631
240,2.90105
242,5.05018
244,2.86415
245,3.60537
248,4.88848
251,3.90172
256,3.03338
258,7.18263
259,3.84825
261,5.04068
267,3.75818
268,4.26254
270,4.50618
272,5.31005
273,2.52142
275,2.14438
276,3.39154
277,4.74087
279,3.82109
283,4.39885
284,4.48698
286,2.83791
287,2.80392
288,2.33726
289,5.34696
292,3.72536
293,4.56914
295,4.75135
297,3.24859
301,4.95656
303,3.65791
304,2.90981
305,2.63657
308,3.08414
309,4.79384
313,2.67871
314,5.01563
315,3.81585
316,3.53732
318,4.78577
320,4.72128
324,3.80001
325,3.38942
326,3.27566
327,4.66574
328,5.4976
332,3.55352
333,5.24949
336,3.46431
339,4.28331
340,4.83294
342,4.3086
344,7.13664
345,3.53808
346,3.1924
349,4.08384
353,4.16781
355,4.24805
360,2.88308
363,3.84448
366,4.01623
367,3.45479
369,3.67504
371,5.18118
372,1.9626
374,3.03532
375,2.8857
378,2.84416
379,1.9531
381,3.8763
382,3.58276
384,3.17519
385,3.68482
387,4.75757
388,3.31363
389,4.98688
390,4.55322
393,4.32607
394,5.07149
395,3.65772
397,2.40476
398,5.19178
399,3.4818
403,3.51353
404,1.87251
406,3.30114
407,2.95631
410,0.657281
411,3.52966
412,2.63077
413,5.49914
417,4.69036
419,4.04938
422,5.23045
425,2.52227
426,4.09952
427,4.26179
432,2.33485
434,3.15436
437,2.57023
438,2.37474
440,5.94448
441,4.96099
443,2.65476
445,4.97294
447,3.10584
449,2.87425
450,4.45078
451,3.96328
453,5.14201
455,2.16872
456,4.08613
459,4.48772
461,2.80224
463,3.2491
466,4.23087
467,2.98915
469,3.21924
470,6.15883
472,3.89403
477,4.12607
481,2.4288
485,3.39114
492,3.92831
494,4.83639
497,3.89857
503,3.53389
504,4.54451
507,4.46428
509,3.48215
511,4.65975
512,3.84648
513,2.21998
516,4.88561
517,2.56033
518,3.42564
522,4.35817
525,2.1103
526,3.42914
527,7.04254
529,3.08995
534,4.81575
538,1.99336
540,4.50686
541,1.66641
542,4.92065
543,7.04853
544,6.26943
546,2.68964
547,3.59303
550,3.28795
554,4.59276
556,2.64688
558,3.58603
559,2.49901
560,4.14971
564,3.81776
565,2.82111
566,4.44782
567,4.50123
568,3.55637
570,3.78209
571,5.7094
575,2.65793
576,3.50504
585,3.44792
586,3.99764
589,2.74773
590,4.00228
591,3.76885
593,2.62996
594,3.96427
595,3.02618
596,3.38283
597,3.96778
598,2.45489
599,3.52853
600,4.7962
601,3.68961
609,4.26563
613,4.3614
619,3.91414
620,4.13639
621,6.80483
622,4.06571
623,3.87088
625,4.25081
626,2.77067
628,2.29591
629,5.08382
633,4.82308
634,4.37704
635,7.11883
636,3.85829
637,3.93829
638,3.09051
639,4.28796
640,4.52612
643,4.12541
645,4.08684
646,4.46135
647,2.9298
649,3.72552
650,2.89345
654,4.82673
656,2.39359
657,4.1573
661,4.80112
662,2.76361
663,4.55316
664,3.99046
667,3.38237
668,4.13273
672,2.73032
673,3.70138
675,4.69656
676,3.1296
677,3.73854
678,4.76196
679,4.3707
682,2.53596
684,3.8895
686,4.0746
687,4.8652
688,3.59628
689,2.49801
690,3.93262
691,4.16293
693,2.86729
694,3.93943
695,3.75667
696,3.32868
699,5.41097
702,6.69203
703,3.65779
704,2.31623
705,2.05214
708,4.4741
709,3.49463
710,3.10418
711,3.73505
712,4.44489
713,5.23965
714,6.0102
724,5.42702
725,3.19445
727,1.41427
729,4.36806
731,4.15059
732,4.20578
735,4.15344
736,3.593
738,3.64747
739,3.70932
741,4.41004
744,2.25887
745,4.56313
749,3.92893
750,3.64569
753,3.44007
754,3.03767
756,4.54811
759,3.95209
763,3.80106
764,3.82305
765,4.44741
770,5.44152
773,3.56138
774,3.54245
778,2.46127
780,4.21998
781,6.36881
783,8.53164
784,3.51368
790,3.95494
791,4.12545
792,3.05165
793,3.10488
794,4.00492
795,3.68613
796,3.38151
801,4.8862
802,4.1722
805,3.76959
808,3.70075
809,3.96759
813,3.48177
814,7.61962
815,1.23821
816,5.14736
817,2.38111
821,3.59302
822,3.93916
823,3.57523
825,3.80371
826,4.10297
830,2.0193
832,4.90465
833,3.28325
835,2.40655
837,3.31828
838,2.9686
839,3.32995
841,4.47607
842,3.06392
844,4.40866
853,2.35067
855,3.59136
858,3.98053
859,3.50309
860,3.49971
861,2.54288
862,3.02842
868,2.90163
869,6.44828
874,4.83286
875,2.23509
877,3.63483
879,4.21482
885,4.58524
886,3.52765
887,3.9386
892,4.18201
894,4.36135
896,4.65361
898,2.68461
899,3.86461
900,3.77243
901,2.00346
903,4.78592
904,7.95659
906,3.30957
907,4.89978
908,4.06053
909,2.4757
915,3.66861
916,5.14853
917,4.97639
921,2.23388
922,4.73927
923,4.61828
924,4.4798
927,4.05261
929,2.14871
932,4.70961
934,2.2937
935,6.92011
937,4.96675
940,4.05329
944,5.37084
946,4.10607
948,4.82109
950,5.37955
952,3.78608
953,4.42623
956,3.31674
959,4.08111
960,4.50862
961,2.95259
962,4.968
966,4.03954
968,4.1268
969,4.5699
971,4.12577
972,3.53739
978,3.15646
983,4.83788
984,4.41411
985,4.2347
987,2.94016
988,4.65288
989,3.51988
991,3.83579
992,3.84556
993,2.88765
997,6.57695
999,1.99338
1003,1.98602
1006,7.81353
1007,4.11502
1013,4.01279
1015,2.8711
1016,3.11055
1017,2.40357
1018,6.87072
1019,3.72973
1020,3.46621
1021,4.27018
1023,2.15023
1025,3.6452
1027,3.44218
1028,4.86292
1029,3.28354
1032,4.59406
1035,3.38179
1039,2.81674
1040,4.45226
1041,2.01933
1043,3.54511
1045,4.22701
1046,7.90082
1049,4.15917
1054,5.09062
1056,4.44008
1057,3.69727
1058,4.20293
1060,5.51989
1061,4.22914
1062,4.00484
1063,4.25842
1066,4.45417
1071,3.9929
1072,3.51949
1076,4.91663
1077,3.7578
1078,3.27969
1082,4.60169
1083,3.59454
1085,4.21475
1086,4.51848
